STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       2139;19931016;    9;   3.1;   4;   0;   0;eor
       2139;19931017;    9;   3.8;   4;   0;   0;eor
       2139;19931018;    9;   0.3;   4;   0;   0;eor
       2139;19931019;    9;   0.0;   0;   0;   0;eor
       2139;19931020;    9;   0.1;   4;   0;   0;eor
       2139;19931021;    9;   1.7;   4;   0;   0;eor
       2139;19931022;    9;   3.7;   4;   0;   0;eor
       2139;19931023;    9;   3.3;   4;   0;   0;eor
       2139;19931024;    9;   1.5;   4;   0;   0;eor
       2139;19931025;    9;   0.1;   4;   0;   0;eor
       2139;19931026;    9;   0.0;   0;   0;   0;eor
       2139;19931027;    9;   0.0;   0;   0;   0;eor
       2139;19931028;    9;   0.0;   0;   0;   0;eor
       2139;19931029;    9;   0.0;   0;   0;   0;eor
       2139;19931030;    9;   0.0;   0;   0;   0;eor
       2139;19931031;    9;   0.0;   0;   0;   0;eor
       2139;19931101;    9;   0.0;   0;   0;   0;eor
       2139;19931102;    9;   0.0;   0;   0;   0;eor
       2139;19931103;    9;   0.0;   0;   0;   0;eor
       2139;19931104;    9;   0.0;   0;   0;   0;eor
       2139;19931105;    9;   0.1;   4;   0;   0;eor
       2139;19931106;    9;   3.0;   4;   0;   0;eor
       2139;19931107;    9;   4.8;   4;   0;   0;eor
       2139;19931108;    9;   5.8;   4;   0;   0;eor
       2139;19931109;    9;   0.0;   4;   0;   0;eor
       2139;19931110;    9;   5.8;   4;   0;   0;eor
       2139;19931111;    9;   4.7;   4;   0;   0;eor
       2139;19931112;    9;   0.1;   4;   0;   0;eor
       2139;19931113;    9;   3.3;   4;   0;   0;eor
       2139;19931114;    9;  10.0;   4;   0;   0;eor
       2139;19931115;    9;   3.2;   4;   0;   0;eor
       2139;19931116;    9;   0.1;   4;   0;   0;eor
       2139;19931117;    9;   0.0;   0;   0;   0;eor
       2139;19931118;    9;   0.0;   0;   0;   0;eor
       2139;19931119;    9;   0.0;   0;   0;   0;eor
       2139;19931120;    9;   0.0;   4;   0;   0;eor
       2139;19931121;    9;   0.1;   4;   0;   0;eor
       2139;19931122;    9;   0.2;   4;   1;   1;eor
       2139;19931123;    9;   0.0;   0;   2;   1;eor
       2139;19931124;    9;   0.0;   0;   1;   0;eor
       2139;19931125;    9;   0.0;   0;   0;   0;eor
       2139;19931126;    9;   0.0;   0;   0;   0;eor
       2139;19931127;    9;   0.0;   0;   0;   0;eor
       2139;19931128;    9;   0.2;   4;   0;   0;eor
       2139;19931129;    9;   0.0;   0;   1;   1;eor
       2139;19931130;    9;   0.0;   0;   1;   0;eor
       2139;19931201;    9;   0.0;   0;   1;   0;eor
       2139;19931202;    9;   3.6;   4;   1;   0;eor
       2139;19931203;    9;   0.3;   4;   0;   0;eor
       2139;19931204;    9;   0.4;   4;   0;   0;eor
       2139;19931205;    9;   0.0;   0;   0;   0;eor
       2139;19931206;    9;   0.0;   0;   0;   0;eor
       2139;19931207;    9;   1.5;   4;   0;   0;eor
       2139;19931208;    9;  10.1;   4;   0;   0;eor
       2139;19931209;    9;   1.1;   4;   0;   0;eor
       2139;19931210;    9;  14.3;   4;   0;   0;eor
       2139;19931211;    9;   3.4;   4;   0;   0;eor
       2139;19931212;    9;  12.5;   4;   0;   0;eor
       2139;19931213;    9;   2.3;   4;   0;   0;eor
       2139;19931214;    9;   3.0;   4;   0;   0;eor
       2139;19931215;    9;   3.0;   4;   0;   0;eor
       2139;19931216;    9;   0.4;   4;   0;   0;eor
       2139;19931217;    9;  14.2;   4;   0;   0;eor
       2139;19931218;    9;   0.6;   4;   0;   0;eor
       2139;19931219;    9;  26.3;   4;   0;   0;eor
       2139;19931220;    9;  43.0;   4;   0;   0;eor
       2139;19931221;    9;   4.0;   4;   0;   0;eor
       2139;19931222;    9;   2.0;   4;   0;   0;eor
       2139;19931223;    9;   6.0;   4;   0;   0;eor
       2139;19931224;    9;   5.7;   4;   0;   0;eor
       2139;19931225;    9;   5.5;   4;   3;   3;eor
       2139;19931226;    9;  14.2;   4;   6;   3;eor
       2139;19931227;    9;   1.5;   4;  18;  12;eor
       2139;19931228;    9;   0.5;   4;  17;   1;eor
       2139;19931229;    9;  10.7;   4;  15;   1;eor
       2139;19931230;    9;   0.9;   4;   5;   0;eor
       2139;19931231;    9;   6.7;   4;   0;   0;eor
       2139;19940101;    9;   0.3;   4;   0;   0;eor
       2139;19940102;    9;   4.4;   4;   3;   3;eor
       2139;19940103;    9;   6.7;   4;   0;   0;eor
       2139;19940104;    9;   2.9;   4;   0;   0;eor
       2139;19940105;    9;   2.0;   4;   0;   0;eor
       2139;19940106;    9;   8.0;   4;   0;   0;eor
       2139;19940107;    9;   0.2;   4;   0;   0;eor
       2139;19940108;    9;   0.1;   4;   0;   0;eor
       2139;19940109;    9;   0.0;   0;   0;   0;eor
       2139;19940110;    9;   0.0;   0;   0;   0;eor
       2139;19940111;    9;   0.0;   4;   0;   0;eor
       2139;19940112;    9;   0.3;   4;   0;   0;eor
       2139;19940113;    9;   0.5;   4;   0;   0;eor
       2139;19940114;    9;   1.0;   4;   0;   0;eor
       2139;19940115;    9;   0.1;   4;   0;   0;eor
       2139;19940116;    9;   0.2;   4;   0;   0;eor
       2139;19940117;    9;   0.0;   4;   1;   1;eor
       2139;19940118;    9;   0.0;   0;   0;   0;eor
       2139;19940119;    9;   1.0;   4;   0;   0;eor
       2139;19940120;    9;   0.0;   4;   2;   2;eor
       2139;19940121;    9;   0.0;   4;   2;   0;eor
       2139;19940122;    9;   3.2;   4;   0;   0;eor
       2139;19940123;    9;  10.2;   4;   0;   0;eor
       2139;19940124;    9;   5.2;   4;   0;   0;eor
       2139;19940125;    9;   4.4;   4;   0;   0;eor
       2139;19940126;    9;   0.6;   4;   0;   0;eor
       2139;19940127;    9;   4.5;   4;   0;   0;eor
       2139;19940128;    9;   0.7;   4;   0;   0;eor
       2139;19940129;    9;   2.3;   4;   1;   1;eor
       2139;19940130;    9;   2.5;   4;   0;   0;eor
       2139;19940131;    9;   0.0;   0;   0;   0;eor
       2139;19940201;    9;   1.7;   4;   0;   0;eor
       2139;19940202;    9;   9.4;   4;   0;   0;eor
       2139;19940203;    9;   2.4;   4;   2;   2;eor
       2139;19940204;    9;   0.2;   4;   0;   0;eor
       2139;19940205;    9;   0.0;   0;   0;   0;eor
       2139;19940206;    9;   2.1;   4;   0;   0;eor
       2139;19940207;    9;   0.1;   4;   0;   0;eor
       2139;19940208;    9;   0.0;   0;   0;   0;eor
       2139;19940209;    9;   0.2;   4;   0;   0;eor
       2139;19940210;    9;   6.5;   4;   0;   0;eor
       2139;19940211;    9;   0.2;   4;   1;   1;eor
       2139;19940212;    9;   0.3;   4;   0;   0;eor
       2139;19940213;    9;   0.0;   4;   1;   1;eor
       2139;19940214;    9;   0.2;   4;   1;   1;eor
       2139;19940215;    9;   0.0;   0;   0;   0;eor
       2139;19940216;    9;   0.0;   0;   0;   0;eor
       2139;19940217;    9;   0.0;   0;   0;   0;eor
       2139;19940218;    9;   0.0;   0;   0;   0;eor
       2139;19940219;    9;   0.0;   0;   0;   0;eor
       2139;19940220;    9;   2.8;   4;   0;   0;eor
